Date		ClusterId		PId	EWork	PWork	SWork
1460000103925		152		0	5	3	2
1460000103925		152		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000230338		152		0	5	3	2
1460000230338		152		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000279880		152		0	5	3	2
1460000279880		152		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000326480		0		0	5	3	2
1460000326480		0		1	5	3	2
1460000326480		152		0	5	3	2
1460000326480		152		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000388360		0		0	5	3	2
1460000388360		0		1	5	3	2
1460000388360		152		0	5	3	2
1460000388360		152		1	5	3	2
1460000388360		12		0	5	3	2
1460000388360		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000456466		0		0	5	3	2
1460000456466		0		1	5	3	2
1460000456466		152		0	5	3	2
1460000456466		152		1	5	3	2
1460000456466		12		0	5	3	2
1460000456466		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000501743		0		0	5	3	2
1460000501743		0		1	5	3	2
1460000501743		152		0	5	3	2
1460000501743		152		1	5	3	2
1460000501743		12		0	5	3	2
1460000501743		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000970997		0		0	5	3	2
1460000970997		0		1	5	3	2
1460000970997		420		0	0	0	0
1460000970997		152		0	5	3	2
1460000970997		152		1	5	3	2
1460000970997		12		0	5	3	2
1460000970997		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000971926		0		0	5	3	2
1460000971926		0		1	5	3	2
1460000971926		420		0	0	0	0
1460000971926		152		0	5	3	2
1460000971926		152		1	5	3	2
1460000971926		12		0	5	3	2
1460000971926		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000972951		0		0	5	3	2
1460000972951		0		1	5	3	2
1460000972951		420		0	0	0	0
1460000972951		152		0	5	3	2
1460000972951		152		1	5	3	2
1460000972951		12		0	5	3	2
1460000972951		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000973971		0		0	5	3	2
1460000973971		0		1	5	3	2
1460000973971		420		0	0	0	0
1460000973971		152		0	5	3	2
1460000973971		152		1	5	3	2
1460000973971		12		0	5	3	2
1460000973971		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000974991		0		0	5	3	2
1460000974991		0		1	5	3	2
1460000974991		420		0	0	0	0
1460000974991		152		0	5	3	2
1460000974991		152		1	5	3	2
1460000974991		12		0	5	3	2
1460000974991		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000975911		0		0	5	3	2
1460000975911		0		1	5	3	2
1460000975911		420		0	0	0	0
1460000975911		152		0	5	3	2
1460000975911		152		1	5	3	2
1460000975911		12		0	5	3	2
1460000975911		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000976945		0		0	5	3	2
1460000976945		0		1	5	3	2
1460000976945		420		0	0	0	0
1460000976945		152		0	5	3	2
1460000976945		152		1	5	3	2
1460000976945		12		0	5	3	2
1460000976945		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
1460000977967		0		0	5	3	2
1460000977967		0		1	5	3	2
1460000977967		420		0	0	0	0
1460000977967		152		0	5	3	2
1460000977967		152		1	5	3	2
1460000977967		12		0	5	3	2
1460000977967		12		1	5	3	2

Date		ClusterId		PId	EWork	PWork	SWork
